firstName,lastName,email,phoneNumber,shipping,shipping.street1,shipping.street2,shipping.city,shipping.state,shipping.zipcode,billing,billing.street1,billing.street2,billing.city,billing.state,billing.zipcode,cardList,orders
Fin,Allot,fallot0@amazon.co.uk,801-153-6244,,John Wall,Everett,Salt Lake City,Utah,84110,,Karstens,7th,Oklahoma City,Oklahoma,73109,"[{""nameOnCard"":""Corby Batrop"",""expirationDate"":""2020-10-25"",""cardNum"":""5338157895289429"",""cardType"":""mastercard""}]","[{""orderDateTime"":""2021-08-30T05:48:28Z"",""totalPrice"":52,""orderItems"":[{""quantity"":43,""totalPrice"":18,""product"":{""productName"":""Crawfish"",""quantityAvail"":74,""unitPrice"":79,""mfgDate"":""2021-05-18"",""description"":""at nunc commodo placerat praesent blandit nam nulla integer pede justo"",""catalogs"":[{""name"":""aliquet maecenas leo odio condimentum id luctus nec molestie sed""}]}}]}]"
Koressa,Slack,kslack1@vistaprint.com,213-156-8696,,Oak,Steensland,Los Angeles,California,90055,,Lerdahl,Granby,Round Rock,Texas,78682,"[{""nameOnCard"":""Arley Jozefczak"",""expirationDate"":""2021-05-02"",""cardNum"":""5610577693432203"",""cardType"":""bankcard""}]","[{""orderDateTime"":""2021-04-22T13:41:52Z"",""totalPrice"":9,""orderItems"":[{""quantity"":8,""totalPrice"":61,""product"":{""productName"":""Beef - Tongue, Fresh"",""quantityAvail"":18,""unitPrice"":47,""mfgDate"":""2021-06-06"",""description"":""et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor"",""catalogs"":[{""name"":""ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris""}]}}]}]"
Elka,Girardeau,egirardeau2@surveymonkey.com,910-939-1276,,Canary,Moulton,Fayetteville,North Carolina,28314,,Hansons,Atwood,Lincoln,Nebraska,68517,"[{""nameOnCard"":""Imojean Dykes"",""expirationDate"":""2021-05-17"",""cardNum"":""3564405170219748"",""cardType"":""jcb""}]","[{""orderDateTime"":""2021-05-07T09:45:15Z"",""totalPrice"":20,""orderItems"":[{""quantity"":53,""totalPrice"":22,""product"":{""productName"":""Pear - Halves"",""quantityAvail"":40,""unitPrice"":13,""mfgDate"":""2020-12-15"",""description"":""nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur"",""catalogs"":[{""name"":""libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh""}]}}]}]"
Devina,Farndell,dfarndell3@adobe.com,520-917-3014,,Service,Leroy,Tucson,Arizona,85732,,American Ash,Village,Madison,Wisconsin,53716,"[{""nameOnCard"":""Ward Skerman"",""expirationDate"":""2021-06-10"",""cardNum"":""3552309079639556"",""cardType"":""jcb""}]","[{""orderDateTime"":""2020-11-21T01:24:13Z"",""totalPrice"":93,""orderItems"":[{""quantity"":88,""totalPrice"":30,""product"":{""productName"":""Bouq All Italian - Primerba"",""quantityAvail"":54,""unitPrice"":77,""mfgDate"":""2021-05-23"",""description"":""ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non"",""catalogs"":[{""name"":""quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac""}]}}]}]"
Rubi,Doni,rdoni4@macromedia.com,407-289-5595,,Moulton,Northfield,Orlando,Florida,32808,,Northfield,Helena,Florence,South Carolina,29505,"[{""nameOnCard"":""Nancee Poles"",""expirationDate"":""2021-05-25"",""cardNum"":""5602211613120488"",""cardType"":""bankcard""}]","[{""orderDateTime"":""2021-02-21T07:47:26Z"",""totalPrice"":11,""orderItems"":[{""quantity"":26,""totalPrice"":85,""product"":{""productName"":""Beer - Sleemans Cream Ale"",""quantityAvail"":59,""unitPrice"":65,""mfgDate"":""2021-03-27"",""description"":""semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio"",""catalogs"":[{""name"":""quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis""}]}}]}]"
Estell,Kreber,ekreber5@e-recht24.de,951-607-5599,,Jana,Hollow Ridge,Moreno Valley,California,92555,,Arizona,Mifflin,Northridge,California,91328,"[{""nameOnCard"":""Pearl Skull"",""expirationDate"":""2020-11-07"",""cardNum"":""6762931390832509440"",""cardType"":""maestro""}]","[{""orderDateTime"":""2021-08-15T15:22:01Z"",""totalPrice"":6,""orderItems"":[{""quantity"":21,""totalPrice"":17,""product"":{""productName"":""Wine - Magnotta - Red, Baco"",""quantityAvail"":96,""unitPrice"":40,""mfgDate"":""2021-04-15"",""description"":""ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel"",""catalogs"":[{""name"":""ut dolor morbi vel lectus""}]}}]}]"
Noby,Gullefant,ngullefant6@bbc.co.uk,610-514-2646,,Clove,Messerschmidt,Allentown,Pennsylvania,18105,,Crest Line,Bultman,Chicago,Illinois,60669,"[{""nameOnCard"":""Aldo Caldecourt"",""expirationDate"":""2021-09-05"",""cardNum"":""5108758014092228"",""cardType"":""mastercard""}]","[{""orderDateTime"":""2021-06-11T17:08:20Z"",""totalPrice"":39,""orderItems"":[{""quantity"":20,""totalPrice"":55,""product"":{""productName"":""Extract - Almond"",""quantityAvail"":45,""unitPrice"":7,""mfgDate"":""2021-08-13"",""description"":""ipsum ac tellus semper interdum mauris ullamcorper purus sit amet"",""catalogs"":[{""name"":""tellus nisi eu orci mauris lacinia sapien quis libero nullam""}]}}]}]"
Hugh,Tran,htran7@theguardian.com,405-545-7225,,Bluestem,Burning Wood,Edmond,Oklahoma,73034,,Cottonwood,Acker,Austin,Texas,78789,"[{""nameOnCard"":""Benedikta Huxster"",""expirationDate"":""2020-12-14"",""cardNum"":""5602256174202878"",""cardType"":""bankcard""}]","[{""orderDateTime"":""2021-03-15T01:16:45Z"",""totalPrice"":13,""orderItems"":[{""quantity"":81,""totalPrice"":27,""product"":{""productName"":""Wine - Jackson Triggs Okonagan"",""quantityAvail"":36,""unitPrice"":49,""mfgDate"":""2020-10-20"",""description"":""in magna bibendum imperdiet nullam orci pede venenatis non sodales"",""catalogs"":[{""name"":""in hac habitasse platea dictumst aliquam augue quam sollicitudin""}]}}]}]"
Rayna,Rodenburgh,rrodenburgh8@cpanel.net,786-890-2579,,Sachs,Loeprich,Miami,Florida,33196,,Chive,Vidon,Bronx,New York,10464,"[{""nameOnCard"":""Kissee Whitmell"",""expirationDate"":""2020-09-30"",""cardNum"":""3539520645855637"",""cardType"":""jcb""}]","[{""orderDateTime"":""2021-07-08T01:23:58Z"",""totalPrice"":55,""orderItems"":[{""quantity"":61,""totalPrice"":77,""product"":{""productName"":""Trueblue - Blueberry Cranberry"",""quantityAvail"":4,""unitPrice"":33,""mfgDate"":""2021-01-15"",""description"":""pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa"",""catalogs"":[{""name"":""justo eu massa donec dapibus duis at velit""}]}}]}]"
Gideon,Bonnor,gbonnor9@bing.com,830-246-8445,,Mayer,Buena Vista,San Antonio,Texas,78245,,Hanover,Hayes,Boston,Massachusetts,02203,"[{""nameOnCard"":""Esmeralda Biever"",""expirationDate"":""2021-06-30"",""cardNum"":""3587023283518899"",""cardType"":""jcb""}]","[{""orderDateTime"":""2021-03-25T22:42:13Z"",""totalPrice"":8,""orderItems"":[{""quantity"":66,""totalPrice"":22,""product"":{""productName"":""Wine - German Riesling"",""quantityAvail"":24,""unitPrice"":66,""mfgDate"":""2021-05-20"",""description"":""suscipit ligula in lacus curabitur at ipsum ac tellus semper"",""catalogs"":[{""name"":""eget eleifend luctus ultricies eu nibh""}]}}]}]"
